date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.5903533829897889
2017-11-28,3223,166,1345,15047,2017-11,14450.54,14450.54,0.8009291992942823
2017-11-29,3277,133,1397,14159,2017-11,13411.96,13411.96,0.700935824354066
2017-11-30,3002,150,1335,15766,2017-11,13290.25,13290.25,0.689217715336009
2017-12-01,2559,107,1256,12524,2017-12,9687.28,9687.28,0.3423276056589977
2017-12-02,402,32,287,3313,2017-12,1443.2600000000002,1443.2600000000002,0.4513978491684017
2017-12-03,1942,90,977,8544,2017-12,6432.9400000000005,6432.9400000000005,0.02900322063045593
2017-12-04,2869,123,1354,12751,2017-12,13137.5,13137.5,0.6745111082165594
2017-12-05,2440,170,1196,12604,2017-12,9467.009999999998,9467.009999999998,0.32112024493754954
2017-12-06,2470,114,1308,10510,2017-12,11268.54,11268.54,0.494569632328071
