date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-28,86,3,83,545,2017-11,375.99000000000007,375.99000000000007,0.3287275692730781
2017-11-29,0,0,0,0,2017-11,0.0,0.0,0.27808463432069525
2017-11-30,33,1,33,192,2017-11,194.22,194.22,0.03536802713833995
2017-12-01,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-02,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-03,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-04,64,4,61,403,2017-12,484.65000000000003,484.65000000000003,0.5040945046769435
2017-12-05,30,5,30,255,2017-12,97.35000000000001,97.35000000000001,0.12097096635119117
2017-12-06,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-07,19,1,19,104,2017-12,133.31,133.31,0.062934936559888
2017-12-08,2,2,2,7,2017-12,20.9,20.9,0.2443540163385418
2017-12-09,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-10,14,1,14,126,2017-12,96.24000000000001,96.24000000000001,0.1227624010861285
2017-12-11,5,1,5,7,2017-12,17.7,17.7,0.24951851287169452
2017-12-12,100,2,89,733,2017-12,435.5799999999999,435.5799999999999,0.4249001781513804
2017-12-13,49,1,49,359,2017-12,153.41,153.41,0.030495442711022763
2017-12-14,2,2,1,1,2017-12,1606.5,172.30543657331137,2.3146540158386086
2017-12-15,156,5,134,1132,2017-12,733.5999999999999,733.5999999999999,0.9058761959045555
2017-12-16,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-17,1,1,1,0,2017-12,5.95,5.95,0.2684818985793645
2017-12-18,35,1,35,408,2017-12,77.68999999999998,77.68999999999998,0.15270034192674797
2017-12-19,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-20,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-21,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-22,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-23,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-24,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-25,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-26,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-27,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-28,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-29,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-30,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2017-12-31,0,0,0,0,2017-12,0.0,0.0,0.27808463432069525
2018-01-01,2,1,2,4,2018-01,14.0,14.0,0.25548996198815227
2018-01-02,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-03,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-04,163,5,158,1826,2018-01,466.55,466.55,0.4748828211612987
2018-01-05,33,4,31,260,2018-01,2463.67,172.30543657331137,3.6980451075018834
2018-01-06,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-07,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-08,1,1,1,8,2018-01,10.95,10.95,0.26041237274631346
2018-01-09,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-10,3,3,1,9,2018-01,1874.42,172.30543657331137,2.747051488076816
2018-01-11,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-12,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-13,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-14,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-15,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
2018-01-16,49,1,49,320,2018-01,209.51999999999998,209.51999999999998,0.06006077618747615
2018-01-17,8,5,6,41,2018-01,2277.02,172.30543657331137,3.396809708154087
2018-01-18,74,1,74,759,2018-01,247.63,247.63,0.12156670208699132
2018-01-19,124,6,118,930,2018-01,3644.4900000000002,172.30543657331137,5.603776606338553
2018-01-20,0,0,0,0,2018-01,0.0,0.0,0.27808463432069525
