date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.5141228299311589
2017-11-28,44,1,44,367,2017-11,139.03,139.03,0.43628788723423817
2017-11-29,2,1,2,5,2017-11,4.6,4.6,0.4826771757632755
2017-11-30,3,1,3,2,2017-11,12.850000000000001,12.850000000000001,0.4262800786143542
2017-12-01,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-02,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-03,13,1,13,98,2017-12,49.199999999999996,49.199999999999996,0.17779105057031924
2017-12-04,44,3,39,444,2017-12,151.98000000000002,151.98000000000002,0.5248142397286056
2017-12-05,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-06,44,4,41,422,2017-12,376.69999999999993,75.20800823723228,2.0610028059474645
2017-12-07,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-08,5,2,5,13,2017-12,13.350000000000001,13.350000000000001,0.42286207272654075
2017-12-09,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-10,4,1,4,34,2017-12,30.32,30.32,0.3068549528941536
2017-12-11,190,6,143,1724,2017-12,489.39000000000004,75.20800823723228,2.831352972942852
2017-12-12,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-13,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-14,1,1,1,1,2017-12,3.25,3.25,0.4919057916603717
2017-12-15,23,5,21,109,2017-12,105.39,105.39,0.2063244511021519
2017-12-16,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-17,17,1,17,134,2017-12,66.0,66.0,0.06294605273978862
2017-12-18,25,1,25,273,2017-12,76.68,76.68,0.01006255302390588
2017-12-19,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-20,5,1,5,10,2017-12,7.050000000000001,7.050000000000001,0.46592894691298975
2017-12-21,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-22,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-23,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-24,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-25,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-26,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-27,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-28,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-29,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-30,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2017-12-31,0,0,0,0,2017-12,0.0,0.0,0.5141228299311589
2018-01-01,3,1,3,8,2018-01,16.29,16.29,0.40276419810619796
2018-01-02,0,0,0,0,2018-01,0.0,0.0,0.5141228299311589
2018-01-03,0,0,0,0,2018-01,0.0,0.0,0.5141228299311589
2018-01-04,14,2,14,66,2018-01,47.55,47.55,0.1890704700001035
2018-01-05,0,0,0,0,2018-01,0.0,0.0,0.5141228299311589
2018-01-06,0,0,0,0,2018-01,0.0,0.0,0.5141228299311589
2018-01-07,0,0,0,0,2018-01,0.0,0.0,0.5141228299311589
2018-01-08,34,4,33,213,2018-01,111.48999999999998,111.48999999999998,0.24802412293347537
2018-01-09,89,4,80,871,2018-01,259.45,259.45,1.25948042525522
2018-01-10,40,2,40,347,2018-01,144.57,144.57,0.4741593924712107
2018-01-11,47,3,46,334,2018-01,154.92,154.92,0.5449121143489483
2018-01-12,8,2,8,26,2018-01,23.27,23.27,0.3550488359123227
