date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.5496075330072341
2017-11-28,2953,154,1291,12922,2017-11,13281.119999999999,13281.119999999999,0.775551596030353
2017-11-29,3217,125,1389,13650,2017-11,13222.970000000001,13222.970000000001,0.7697495248681668
2017-11-30,2911,144,1318,15243,2017-11,12941.5,12941.5,0.7416651057792488
2017-12-01,2443,100,1221,11652,2017-12,9163.07,9163.07,0.36466218675363266
2017-12-02,370,31,263,3101,2017-12,1263.2800000000002,1263.2800000000002,0.4235604056165771
2017-12-03,1888,87,964,8096,2017-12,6229.110000000001,6229.110000000001,0.07191851165461106
2017-12-04,2684,110,1301,11202,2017-12,12189.79,12189.79,0.6666612379662298
2017-12-05,2283,157,1151,11906,2017-12,8892.27,8892.27,0.3376423953397024
2017-12-06,2423,108,1292,10071,2017-12,10886.99,10886.99,0.5366708972938942
2017-12-07,2403,116,1192,11572,2017-12,10651.380000000001,10651.380000000001,0.5131622818764787
2017-12-08,1535,117,875,7902,2017-12,4864.07,4864.07,0.06428199082571205
2017-12-09,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-10,1678,71,935,7685,2017-12,4568.200000000001,4568.200000000001,0.09380320827637506
2017-12-11,3851,113,1568,14845,2017-12,19097.670000000002,19097.670000000002,1.3559133676281985
2017-12-12,1896,119,1000,10331,2017-12,9518.670000000002,9518.670000000002,0.40014312407561825
2017-12-13,3137,101,1409,13689,2017-12,15610.169999999998,15610.169999999998,1.0079387643930355
2017-12-14,1944,157,1062,9346,2017-12,6003.74,6003.74,0.04943161951665869
2017-12-15,1732,71,1011,6557,2017-12,9560.02,9560.02,0.404268930482435
2017-12-16,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-17,573,37,418,3381,2017-12,1811.51,1811.51,0.3688592968763295
2017-12-18,576,49,427,2473,2017-12,2650.71,2650.71,0.28512588123906824
2017-12-19,2032,202,1136,5056,2017-12,13254.54,13254.54,0.7728995057209651
2017-12-20,328,29,286,1089,2017-12,1580.29,1580.29,0.3919298883487408
2017-12-21,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-22,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-23,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-24,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-25,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-26,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-27,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-28,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-29,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-30,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2017-12-31,0,0,0,0,2017-12,0.0,0.0,0.5496075330072341
2018-01-01,663,68,520,2993,2018-01,1936.26,1936.26,0.3564120332910717
2018-01-02,938,46,634,5603,2018-01,3061.2700000000004,3061.2700000000004,0.24416116350308875
2018-01-03,294,14,250,1994,2018-01,965.8500000000001,965.8500000000001,0.45323727622309584
2018-01-04,846,78,586,6108,2018-01,2777.0200000000004,2777.0200000000004,0.2725229644979547
2018-01-05,533,41,380,3793,2018-01,1893.67,1893.67,0.36066156400126115
2018-01-06,0,0,0,0,2018-01,0.0,0.0,0.5496075330072341
2018-01-07,676,36,475,4464,2018-01,1969.56,1969.56,0.353089437079536
2018-01-08,2605,63,1057,7931,2018-01,12781.810000000001,12781.810000000001,0.7257316106134788
2018-01-09,1017,60,730,4806,2018-01,3535.13,3535.13,0.19688051963527106
2018-01-10,1552,51,892,5034,2018-01,7670.260000000001,7670.260000000001,0.21571309214274154
2018-01-11,2141,83,1022,8905,2018-01,11974.44,11974.44,0.6451741180216585
2018-01-12,554,45,375,3715,2018-01,1699.27,1699.27,0.3800583418848212
2018-01-13,0,0,0,0,2018-01,0.0,0.0,0.5496075330072341
2018-01-14,1116,41,684,5700,2018-01,3438.3100000000004,3438.3100000000004,0.20654099306472723
2018-01-15,1879,48,993,5934,2018-01,8679.83,8679.83,0.3164456283974004
2018-01-16,1639,44,990,7538,2018-01,7036.981000000001,7036.981000000001,0.15252599285610044
2018-01-17,1207,74,809,5001,2018-01,4729.54,4729.54,0.07770507996498843
2018-01-18,1095,85,712,5824,2018-01,3402.0600000000004,3402.0600000000004,0.21015793338509273
