country,Period,eval_test,runtime,MODEL_VERSION,MODEL_VERSION_NOTE,test
all,"('2017-11-29', '2019-10-31')",21763,00:00:11,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2068,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",908,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",518,00:00:07,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",659,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",150,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",193,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",461,00:00:06,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2021,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",201,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",19888,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",20981,00:00:10,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",1928,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",908,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",534,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",702,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",147,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",203,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",506,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2000,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",182,00:00:05,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",20596,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",26336,00:00:10,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2162,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",1017,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",554,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",648,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",151,00:00:05,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",210,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",567,00:00:06,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2020,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",178,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",18110,00:00:07,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",21552,00:00:11,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2102,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",1040,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",481,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",740,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",151,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",197,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",336,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2010,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",224,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",19399,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",23090,00:00:11,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2025,00:00:05,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",915,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",466,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",636,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",154,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",207,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",319,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2009,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",187,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",20276,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",24227,00:00:10,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",1888,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",961,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",563,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",634,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",147,00:00:06,0.1,supervised learning model for time-series,False
