date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.286150049190859
2017-11-28,41,3,38,343,2017-11,134.25,134.25,0.311978583796827
2017-11-29,29,2,28,240,2017-11,120.01999999999998,120.01999999999998,0.24857917636729415
2017-11-30,31,2,30,121,2017-11,98.15,98.15,0.15114101470293156
2017-12-01,32,2,32,184,2017-12,184.73000000000002,184.73000000000002,0.5368838604688448
2017-12-02,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-03,23,1,23,227,2017-12,76.38,76.38,0.05414838647096187
2017-12-04,6,2,6,55,2017-12,14.959999999999999,14.959999999999999,0.21949824770485693
2017-12-05,36,3,33,141,2017-12,179.60000000000002,179.60000000000002,0.5140279953870808
2017-12-06,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-07,8,2,4,12,2017-12,32.2,32.2,0.14268828396029298
2017-12-08,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-09,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-10,76,3,71,645,2017-12,237.21999999999997,237.21999999999997,0.770744359131963
2017-12-11,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-12,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-13,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-14,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-15,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-16,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-17,46,1,46,498,2017-12,81.33000000000001,81.33000000000001,0.07620229137441853
2017-12-18,9,1,9,58,2017-12,41.5,41.5,0.1012536747477382
2017-12-19,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-20,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-21,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-22,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-23,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-24,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-25,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-26,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-27,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-28,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
2017-12-29,0,0,0,0,2017-12,0.0,0.0,0.286150049190859
