date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,y,y_outlier
2017-11-01,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-02,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-03,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-04,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-05,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-06,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-07,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-08,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-09,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-10,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-11,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-12,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-13,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-14,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-15,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-16,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-17,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-18,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-19,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-20,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-21,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-22,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-23,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-24,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-25,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-26,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-27,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-28,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-11-29,23,2,22,240,2017-11,49.33,49.33,0.4187931494345624
2017-11-30,0,0,0,0,2017-11,0.0,0.0,0.2918311545728219
2017-12-01,22,1,22,195,2017-12,77.52000000000001,77.52000000000001,0.8248847596102804
2017-12-02,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-03,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-04,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-05,51,1,51,51,2017-12,104.14999999999999,104.14999999999999,1.2085037585098675
2017-12-06,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-07,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-08,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-09,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-10,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-11,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-12,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-13,7,1,7,76,2017-12,37.25,37.25,0.24477446724503876
2017-12-14,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-15,52,1,52,634,2017-12,116.01,116.01,1.379353226288655
2017-12-16,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-17,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-18,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-19,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
2017-12-20,0,0,0,0,2017-12,0.0,0.0,0.2918311545728219
