country,Period,eval_test,runtime,MODEL_VERSION,MODEL_VERSION_NOTE,test
all,"('2017-12-05', '2019-10-31')",{'rmse': 0.5},00:00:09,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-05-31')",46587,00:00:10,0.2,TreeRegression model for time-series,False
all,"('2017-11-29', '2019-05-31')",0.84,00:02:09,0.2,fpProphet time-series analysis,False
eire,"('2017-11-29', '2019-05-31')",2045,00:00:05,0.2,TreeRegression model for time-series,False
eire,"('2017-11-29', '2019-05-31')",0.84,00:01:59,0.2,fpProphet time-series analysis,False
france,"('2017-11-29', '2019-05-31')",653,00:00:05,0.2,TreeRegression model for time-series,False
france,"('2017-11-29', '2019-05-31')",0.84,00:02:00,0.2,fpProphet time-series analysis,False
germany,"('2017-11-29', '2019-05-31')",705,00:00:05,0.2,TreeRegression model for time-series,False
germany,"('2017-11-29', '2019-05-31')",0.84,00:02:03,0.2,fpProphet time-series analysis,False
hong_kong,"('2018-04-19', '2019-05-01')",1384,00:00:02,0.2,TreeRegression model for time-series,False
hong_kong,"('2018-04-19', '2019-05-01')",0.84,00:01:18,0.2,fpProphet time-series analysis,False
netherlands,"('2017-11-30', '2019-05-31')",162,00:00:04,0.2,TreeRegression model for time-series,False
netherlands,"('2017-11-30', '2019-05-31')",0.84,00:02:27,0.2,fpProphet time-series analysis,False
norway,"('2017-12-05', '2019-04-01')",294,00:00:04,0.2,TreeRegression model for time-series,False
norway,"('2017-12-05', '2019-04-01')",0.84,00:02:12,0.2,fpProphet time-series analysis,False
portugal,"('2017-11-29', '2019-05-31')",525,00:00:05,0.2,TreeRegression model for time-series,False
portugal,"('2017-11-29', '2019-05-31')",0.84,00:02:09,0.2,fpProphet time-series analysis,False
singapore,"('2018-04-25', '2019-04-02')",0,00:00:02,0.2,TreeRegression model for time-series,False
singapore,"('2018-04-25', '2019-04-02')",0.84,00:01:25,0.2,fpProphet time-series analysis,False
spain,"('2017-12-01', '2019-05-31')",234,00:00:04,0.2,TreeRegression model for time-series,False
spain,"('2017-12-01', '2019-05-31')",0.84,00:02:02,0.2,fpProphet time-series analysis,False
united_kingdom,"('2017-11-29', '2019-05-31')",38862,00:00:05,0.2,TreeRegression model for time-series,False
united_kingdom,"('2017-11-29', '2019-05-31')",0.84,00:02:06,0.2,fpProphet time-series analysis,False
